order_item_id,order_id,product_id,quantity,unit_price,tax,discount_amount,fulfilled_by,created_at,updated_at
OI00001,O11290,P04961,1,1492.38,211.21,135.92,,2024-06-17 16:04:34,2024-12-05 00:55:17
OI00002,O07187,P01370,1,3411.03,104.81,66.16,3PL,2024-12-04 23:55:41,2024-01-19 20:42:10
OI00003,O01807,P02512,1,3910.41,338.74,42.79,Vendor,2024-01-30 11:43:46,2024-01-20 11:16:31
OI00004,O10451,P00337,,1089.16,393.59,185.23,WAREHOUSE,2024-03-04 00:55:06,2024-10-20 15:22:01
OI00005,O10393,P03831,3,3753.14,117.66,433.48,Vendor,2024-12-06 18:12:32,2024-05-06 18:34:10
OI00006,O10597,P03368,3,2242.09,468.49,312.77,W@rehouse,2024-02-23 01:24:31,2024-05-19 23:14:19
OI00007,O10058,P02403,3,2383.48,133.19,186.6,Warehouse,2024-12-28 01:03:27,2024-02-04 09:05:42
OI00008,O07724,P03300,2,2809.2,240.45,204.93,Vendor,2024-05-28 02:54:39,2024-08-15 02:53:04
OI00009,O11866,P02146,1,1126.78,72.17,81.63,3pl,2024-05-02 16:42:30,2024-09-25 05:49:08
OI00010,O11963,P02438,1,1419.64,235.96,5.77,warehouse,2024-08-11 15:24:55,2024-05-23 09:59:44
OI00011,O11854,P02828,,4084.97,167.1,370.77,vendor,2024-10-08 01:08:13,2024-05-04 14:04:36
OI00012,O04586,P03684,0,2259.51,26.77,387.8,WAREHOUSE,2024-12-08 16:28:41,2024-02-07 11:24:49
OI00013,O04912,P00122,0,1054.93,290.8,12.76,3PL,2024-05-27 06:38:41,2024-08-05 11:40:11
OI00014,O11704,P00741,2,2716.32,250.37,74.21,Vendor,2024-04-23 04:50:27,2024-03-17 01:05:41
OI00015,O06589,P00629,3,3200.02,350.71,429.37,Vendor,2024-06-30 15:20:00,2024-12-15 15:32:09
OI00016,O08479,P02428,1,1012.57,102.75,236.75,VENDOR,2024-10-23 22:49:45,2024-01-07 00:15:00
