order_id,customer_id,order_status,shipping_method,payment_terms,shipping_fee,created_at,updated_at,is_deleted
O00001,C02615,FAILED,express,,174.42,2024-11-26 16:55:06,2024-11-26 16:33:57,0
O00002,C03459,Pending,,,33.97,2024-08-22 18:44:12,2024-05-05 20:01:51,0
O00003,C02185,Failed,Express,Postpaid,70.66,2024-09-23 12:28:01,2024-02-01 04:27:43,1
O00004,C00962,Refunded,pickup,,66.95,2024-05-05 02:36:36,2024-01-29 23:42:50,0
O00005,C03657,Refunded,Pickup,,193.37,2024-12-20 11:14:46,2024-12-06 20:15:02,0
O00006,C00099,,pickup,Postpaid,81.77,2024-08-09 01:11:24,2024-08-15 20:07:15,0
O00007,C03774,processing,Pickup,,182.82,2024-08-09 09:40:05,2024-03-02 12:15:13,1
O00008,C04592,Pending,,Prepaid,182.42,2024-08-08 02:27:37,2024-10-29 06:16:11,1
O00009,C02012,Pending,Express,,120.44,2024-11-25 11:18:55,2024-05-18 20:55:29,0
O00010,C03932,,Pickup,Postpaid,194.67,2024-03-31 18:47:20,2024-02-02 05:36:53,0
O00011,C00416,Refunded,PICKUP,Prepaid,20.15,2024-04-15 09:32:41,2024-03-04 23:38:09,1
O00012,C04139,Processing,,,128.59,2024-05-26 12:05:48,2024-01-26 01:19:13,0
O00013,C04340,Refunded,Express,Prepaid,166.22,2024-06-24 02:41:56,2024-02-21 03:19:28,0
O00014,C03389,Processing,Pickup,Prepaid,78.17,2024-09-27 14:46:08,2024-03-29 12:03:20,0
O00015,C00391,refunded,,,174,2024-11-21 17:33:43,2024-07-26 02:54:59,0
O00016,C02143,PENDING,,Postpaid,44.01,2024-04-10 05:57:27,2024-11-11 09:41:30,0
O00017,C02835,Failed,PICKUP,Prepaid,90.35,2024-10-11 15:11:07,2024-06-20 20:36:49,1
O00018,C01092,Completed,Express,Prepaid,64.87,2024-10-11 03:11:57,2024-12-09 03:12:50,0
O00019,C04726,,Pickup,Postpaid,9.79,2024-06-09 21:45:28,2024-08-12 09:58:58,0
O00020,C04635,Completed,pickup,,137.23,2024-01-27 01:08:49,2024-03-03 20:54:08,0
O00021,C01117,Processing,Express,Postpaid,130.06,2024-08-17 05:19:02,2024-10-02 04:23:58,0
O00022,C03939,Completed,,Prepaid,149.37,2024-05-16 07:51:12,2024-08-27 05:22:06,0
O00023,C00465,Processing,,Postpaid,82.17,2024-07-08 03:45:09,2024-01-17 06:15:18,0
O00024,C02658,failed,Pickup,,127.77,2024-09-13 14:26:22,2024-09-13 19:45:05,0
O00025,C00034,,,Postpaid,41.67,2024-08-15 23:20:52,2024-02-14 18:04:38,1
O00026,C01578,Processing,Standard,,3.6,2024-09-29 06:24:55,2024-09-14 05:24:21,0
O00027,C01939,Failed,,Postpaid,130.89,2024-10-29 20:36:32,2024-04-17 09:32:16,0
O00028,C01216,FAILED,St@nd@rd,,176.55,2024-05-03 09:31:42,2024-03-26 05:46:34,0
O00029,C03322,Pending,,Postpaid,67.9,2024-01-02 19:12:48,2024-03-29 13:22:40,0
O00030,C03920,Refunded,,,88.73,2024-07-05 07:15:53,2024-09-05 04:36:19,0
O00031,C03354,completed,,Postpaid,52.63,2024-07-29 00:44:29,2024-11-30 22:19:05,0
O00032,C01421,,,,126.27,2024-12-04 12:29:39,2024-01-15 10:47:27,0
O00033,C04669,Failed,Express,,76.56,2024-03-26 02:26:59,2024-02-23 10:37:03,1
O00034,C02251,failed,Standard,,17.19,2024-03-10 20:48:55,2024-02-16 10:24:01,0
O00035,C01403,F@iled,pickup,Prepaid,174.47,2024-07-20 21:51:37,2024-05-20 21:42:41,0
O00036,C00062,processing,Express,,169.08,2024-04-19 18:04:29,2024-10-07 04:13:06,1
O00037,C03724,completed,STANDARD,,93.77,2024-08-18 08:30:27,2024-05-24 04:07:51,1
O00038,C04639,PENDING,Standard,Prepaid,62.73,2024-09-02 03:59:53,2024-03-16 12:18:04,0
O00039,C00728,processing,Standard,Postpaid,18.43,2024-08-31 03:24:55,2024-03-10 06:44:28,1
O00040,C00516,Processing,,Prepaid,85.94,2024-12-31 17:29:31,2024-05-21 07:51:12,0
O00041,C00858,Completed,,,178.38,2024-06-12 15:33:47,2024-09-05 06:06:58,0
O00042,C00930,PENDING,,,89.43,2024-06-16 11:52:48,2024-10-14 11:40:32,0
O00043,C03486,Refunded,,Prepaid,106.65,2024-09-28 22:55:55,2024-03-04 03:20:16,0
O00044,C01901,Processing,,Prepaid,8.22,2024-07-14 10:11:53,2024-09-28 07:23:33,0
O00045,C01063,processing,Standard,,120.14,2024-10-22 07:20:01,2024-05-24 09:26:56,0
O00046,C04448,Processing,,Prepaid,93.81,2024-06-04 06:58:55,2024-09-05 12:21:03,1
O00047,C03780,Processing,Express,Prepaid,88.93,2024-07-20 03:38:28,2024-09-01 13:51:53,0
O00048,C03161,Completed,,,102.07,2024-11-05 08:37:47,2024-04-04 23:10:22,0
O00049,C01745,processing,Pickup,,108.32,2024-03-21 18:00:31,2024-08-20 18:35:12,0
O00050,C04736,Processing,Standard,Postpaid,190.4,2024-09-30 20:44:41,2024-04-29 08:38:42,0
O00051,C03594,Refunded,,Prepaid,34.78,2024-05-23 19:56:54,2024-08-26 00:39:58,0
O00052,C01877,Completed,,,95.01,2024-02-26 14:23:11,2024-09-26 17:51:08,0
O00053,C04181,Completed,Express,Postpaid,137.3,2024-05-12 03:08:01,2024-05-28 03:07:51,0
O00054,C00260,COMPLETED,Pickup,Postpaid,125.01,2024-07-30 05:34:42,2024-03-02 01:25:42,1
O00055,C03144,,PICKUP,,6.76,2024-11-05 23:35:34,2024-05-04 10:18:14,1
O00056,C03303,Processing,Standard,,185.11,2024-02-16 17:16:54,2024-05-07 07:46:07,0
O00057,C04682,Pending,,,30.41,2024-07-18 14:48:56,2024-07-15 07:21:38,0
O00058,C04813,Completed,standard,,82.13,2024-07-26 20:27:55,2024-04-25 17:49:15,0
O00059,C00515,processing,Express,Prepaid,138.37,2024-09-03 03:20:24,2024-05-11 08:41:29,0
O00060,C02352,Failed,,Prepaid,49.25,2024-08-03 03:08:52,2024-06-16 16:59:38,0
O00061,C00420,completed,PICKUP,Postpaid,13.84,2024-01-15 13:11:55,2024-05-16 00:10:10,1
O00062,C02151,failed,Standard,,57.92,2024-10-10 11:34:12,2024-10-15 02:36:37,0
O00063,C01788,Completed,pickup,Postpaid,102.39,2024-11-22 16:09:33,2024-10-12 03:06:37,1
O00064,C01641,Failed,,,16.1,2024-05-04 02:54:32,2024-08-25 05:28:13,1
O00065,C01835,F@iled,Express,Postpaid,160.41,2024-12-10 21:11:16,2024-01-15 13:29:32,0
O00066,C02627,Completed,Standard,Prepaid,25,2024-03-12 10:39:44,2024-07-02 18:08:04,1
O00067,C01497,Refunded,Express,Postpaid,138.07,2024-02-20 15:06:14,2024-09-11 10:07:24,1
O00068,C04015,,Standard,,51.94,2024-04-16 17:48:09,2024-06-30 17:41:27,0
O00069,C00943,Processing,standard,Prepaid,10.07,2024-07-20 12:02:37,2024-06-12 00:59:49,1
O00070,C00921,Failed,Standard,,188.53,2024-05-24 00:22:11,2024-12-10 21:43:53,1
O00071,C03975,failed,St@nd@rd,,36.1,2024-04-15 23:10:08,2024-06-06 23:28:34,0
O00072,C03427,pending,Pickup,Postpaid,169.73,2024-03-19 09:18:51,2024-06-10 11:35:28,0
O00073,C00712,Pending,Express,Postpaid,58.43,2024-07-02 01:01:52,2024-12-25 18:31:39,1
O00074,C02630,Processing,St@nd@rd,Postpaid,121.06,2024-01-22 00:24:02,2024-08-14 09:49:44,1
O00075,C02104,refunded,,Postpaid,51.48,2024-12-15 09:27:21,2024-05-17 06:50:26,0
O00076,C03207,REFUNDED,,Postpaid,84.95,2024-12-25 06:21:56,2024-12-21 16:41:39,0
O00077,C04849,processing,EXPRESS,,147.29,2024-01-13 22:07:57,2024-09-25 13:00:24,0
O00078,C04851,Pending,,Postpaid,61.61,2024-10-30 17:49:08,2024-07-13 17:00:05,0
O00079,C01693,,St@nd@rd,,53.26,2024-08-28 15:08:05,2024-10-23 22:31:06,0
O00080,C04707,pending,Express,,18.42,2024-01-19 12:29:52,2024-02-06 08:43:41,0
O00081,C00564,REFUNDED,Pickup,Postpaid,7.98,2024-10-12 23:07:57,2024-01-21 17:11:49,1
O00082,C03982,Processing,,,131.08,2024-09-17 16:19:12,2024-07-16 20:40:53,1
O00083,C00829,,,Postpaid,49.97,2024-10-10 04:49:43,2024-04-01 23:55:57,0
O00084,C02630,REFUNDED,Express,Prepaid,19.77,2024-06-21 12:56:47,2024-01-24 03:58:17,0
O00085,C01793,COMPLETED,STANDARD,Prepaid,41.02,2024-12-12 15:00:49,2024-09-02 22:56:36,1
O00086,C03613,,,Postpaid,158.66,2024-06-25 20:49:23,2024-06-27 05:53:23,0
O00087,C02698,Completed,pickup,Postpaid,50.64,2024-06-27 17:53:32,2024-04-09 21:55:01,0
O00088,C03859,PENDING,,,82.42,2024-02-14 23:57:46,2024-12-31 00:24:26,0
O00089,C04362,Processing,Express,Prepaid,99.79,2024-08-29 19:57:41,2024-05-03 06:03:15,0
O00090,C01076,Refunded,Pickup,Prepaid,32.51,2024-05-25 20:53:21,2024-02-08 19:45:20,0
O00091,C02125,Refunded,Express,Prepaid,27.54,2024-07-20 20:23:00,2024-01-25 07:16:24,0
O00092,C04290,PROCESSING,,Prepaid,189.51,2024-08-27 08:12:39,2024-06-23 06:20:14,0
O00093,C02313,Pending,Standard,,188.4,2024-11-01 14:02:03,2024-02-28 19:51:56,0
O00094,C04877,Pending,,Prepaid,96.87,2024-12-12 07:33:57,2024-01-25 07:23:27,0
O00095,C01126,,St@nd@rd,Prepaid,42.43,2024-12-24 12:57:12,2024-08-05 02:57:47,0
O00096,C04811,F@iled,,Postpaid,95.86,2024-03-15 05:20:56,2024-12-31 19:07:03,0
O00097,C03487,PROCESSING,,Prepaid,139.9,2024-08-10 09:47:58,2024-05-25 20:25:09,0
O00098,C03373,Processing,Pickup,Prepaid,86.73,2024-11-10 16:07:37,2024-02-08 07:12:43,0
O00099,C02282,Processing,,Postpaid,100.86,2024-09-09 04:18:37,2024-12-07 15:17:27,0
O00100,C04146,Processing,,,173.35,2024-10-08 22:18:37,2024-05-23 19:03:42,1
O00101,C01151,Failed,,Postpaid,191.05,2024-06-16 16:16:33,2024-08-14 07:42:17,0
O00102,C04144,refunded,St@nd@rd,,108.82,2024-08-03 01:58:30,2024-11-18 05:47:56,1
O00103,C04598,Refunded,Express,,135.51,2024-04-05 13:11:49,2024-03-21 08:29:57,1
O00104,C02141,,,Postpaid,26.27,2024-06-16 20:15:20,2024-02-12 08:21:39,0
O00105,C03920,,,Postpaid,52.55,2024-07-11 02:20:45,2024-05-26 14:19:35,1
O00106,C03509,failed,St@nd@rd,,167.03,2024-01-14 07:13:52,2024-05-10 04:14:45,0
O00107,C01717,COMPLETED,Express,Prepaid,158.31,2024-11-20 22:57:30,2024-12-16 03:29:08,0
O00108,C00654,PENDING,Pickup,,172.07,2024-12-08 14:51:47,2024-07-31 12:25:18,0
O00109,C01891,,standard,Postpaid,125.95,2024-08-09 18:48:10,2024-02-04 16:55:22,1
O00110,C04975,Processing,Pickup,Prepaid,95.8,2024-06-19 11:16:05,2024-08-17 08:58:33,0
O00111,C04113,Refunded,Standard,Postpaid,111.49,2024-01-17 12:05:09,2024-03-12 23:03:10,0
O00112,C01287,Refunded,,,43.94,2024-08-19 04:32:35,2024-05-17 11:57:29,0
O00113,C01745,,,Prepaid,120.13,2024-08-19 14:36:45,2024-06-02 11:18:47,0
O00114,C03268,Processing,Express,Prepaid,182.24,2024-09-11 13:26:34,2024-05-28 17:13:10,0
O00115,C01304,Processing,,Postpaid,103.26,2024-05-15 00:47:18,2024-08-21 10:53:53,0
O00116,C01075,Processing,Pickup,,133.98,2024-03-27 18:46:51,2024-07-03 04:57:31,0
O00117,C04812,F@iled,Express,Postpaid,106.31,2024-06-29 00:26:57,2024-09-09 12:35:04,1
O00118,C02726,PENDING,Standard,,186.67,2024-04-30 04:27:48,2024-01-02 06:16:55,0
O00119,C01841,Failed,,Postpaid,105,2024-06-17 03:14:14,2024-04-21 23:44:09,1
O00120,C02591,FAILED,Express,,30.75,2024-07-07 16:04:51,2024-07-28 11:29:17,1
O00121,C02602,Pending,Pickup,Prepaid,36.4,2024-02-07 11:10:21,2024-02-28 22:33:02,1
O00122,C00360,REFUNDED,Pickup,Prepaid,188.46,2024-07-03 23:57:00,2024-10-09 22:35:53,0
O00123,C03709,F@iled,Express,,50.73,2024-04-28 23:21:40,2024-10-13 06:27:04,0
O00124,C01154,PENDING,,,7.97,2024-02-17 07:47:22,2024-06-08 17:46:59,0
O00125,C01038,Completed,St@nd@rd,,65.75,2024-10-26 03:59:30,2024-06-12 12:02:27,0
O00126,C00050,PROCESSING,Express,Postpaid,181,2024-02-13 07:45:24,2024-05-13 20:41:12,0
O00127,C03997,Completed,STANDARD,Postpaid,9.2,2024-09-08 02:49:53,2024-08-13 13:34:10,1
O00128,C02724,Completed,Express,Postpaid,44.52,2024-12-02 10:46:10,2024-10-25 05:56:35,0
O00129,C04709,Pending,Pickup,Prepaid,139.13,2024-06-28 01:29:29,2024-04-06 12:00:59,0
O00130,C02851,Completed,,,136.68,2024-05-08 08:24:54,2024-07-14 09:06:27,1
O00131,C00685,Completed,Standard,Prepaid,152.57,2024-08-10 21:39:04,2024-12-27 00:20:05,0
O00132,C00342,,Express,Postpaid,199.81,2024-08-31 05:48:58,2024-06-08 14:52:34,1
O00133,C02474,Completed,pickup,Postpaid,43.87,2024-10-17 19:00:12,2024-05-12 01:02:00,0
O00134,C04979,PENDING,express,,107.35,2024-03-22 20:24:32,2024-05-04 07:14:09,0
O00135,C04768,failed,,Postpaid,140.54,2024-02-19 08:16:13,2024-12-15 04:02:55,0
O00136,C04782,Failed,,Prepaid,52.65,2024-06-27 07:28:47,2024-12-28 20:28:33,0
O00137,C02837,Failed,Express,Postpaid,8.59,2024-08-25 13:58:59,2024-06-09 00:46:02,1
O00138,C00501,REFUNDED,Pickup,,195.65,2024-07-22 15:32:39,2024-12-05 14:09:13,1
O00139,C03298,Failed,express,Prepaid,175.87,2024-06-01 20:10:00,2024-08-24 22:51:59,1
O00140,C04998,Completed,,,185.66,2024-03-28 01:44:02,2024-02-08 18:08:39,0
O00141,C01753,Pending,Express,Postpaid,44.41,2024-06-19 07:03:17,2024-08-12 06:56:17,0
O00142,C02111,Completed,,,189.04,2024-09-15 17:50:19,2024-03-16 12:21:12,0
O00143,C04951,pending,Standard,Postpaid,27.28,2024-06-10 02:12:15,2024-03-01 09:09:41,0
O00144,C04951,Refunded,,Postpaid,164.1,2024-09-14 06:51:46,2024-11-13 01:36:35,0
O00145,C00963,Refunded,Express,Prepaid,195.6,2024-12-08 21:08:34,2024-04-03 23:05:37,0
O00146,C00915,COMPLETED,EXPRESS,Prepaid,165.69,2024-11-22 03:04:36,2024-11-25 02:41:41,0
O00147,C00935,,Standard,,143.52,2024-03-17 22:27:41,2024-10-27 04:16:06,1
O00148,C01199,Pending,,Postpaid,76.27,2024-12-25 02:12:32,2024-04-11 13:50:58,0
O00149,C04188,Completed,Express,Postpaid,9.83,2024-06-30 18:36:35,2024-11-02 19:57:10,0
O00150,C02544,Completed,,Postpaid,39.41,2024-02-15 22:28:42,2024-03-22 05:04:13,0
O00151,C03701,Completed,Express,Postpaid,131.5,2024-05-07 23:23:51,2024-02-19 17:05:23,0
O00152,C03785,Processing,EXPRESS,Postpaid,157.11,2024-12-17 10:36:30,2024-08-22 12:26:16,0
