payment_id,order_id,amount,payment_method,payment_gateway,payment_status,currency,exchange_rate,created_at,updated_at
PM00001,O11377,453.13,Transfer,,REVERSED,NGN,709.45,2024-02-02 09:46:57,2024-05-06 21:17:14
PM00002,O04811,284.7,Card,Paystack,Failed,kes,1200.22,2024-01-02 22:07:23,2024-08-06 20:59:40
PM00003,O08949,5998.97,Crypto,Flutterwave,Paid,USD,420.55,2024-05-26 06:59:44,2024-12-30 18:18:48
PM00004,O03676,5556.65,Card,Paystack,,KES,1125.53,2024-01-30 15:46:52,2024-02-09 11:06:09
PM00005,O10505,5664.95,card,Stripe,Pending,KES,1148.3,2024-12-17 04:55:19,2024-12-27 09:13:32
PM00006,O11444,949.82,Crypto,,Failed,NGN,911.78,2024-08-08 13:28:27,2024-10-08 09:33:58
PM00007,O04382,1023.93,Cash,,FAILED,,421.28,2024-09-20 06:35:41,2024-11-19 00:31:48
PM00008,O11225,5928.45,paypal,Stripe,Reversed,GHS,836.86,2024-04-06 10:46:30,2024-08-05 01:43:57
PM00009,O09264,2006.06,crypto,Flutterwave,P@id,KES,329.91,2024-02-12 15:54:02,2024-12-19 20:43:47
PM00010,O07353,5786.12,CRYPTO,Flutterwave,Paid,USD,1239.22,2024-10-26 01:22:13,2024-10-02 04:37:41
PM00011,O04909,1845.75,Transfer,Stripe,Failed,GHS,340.42,2024-12-20 23:25:26,2024-07-27 14:19:32
PM00012,O01214,4309.5,Transfer,Paystack,P@id,,614,2024-08-09 21:55:51,2024-11-24 16:16:10
PM00013,O01559,379.85,C@sh,,Paid,USD,707.47,2024-07-06 10:49:16,2024-02-23 02:00:34
PM00014,O06373,5255.22,Cash,,PENDING,NGN,350.8,2024-04-29 00:42:17,2024-06-26 06:13:51
PM00015,O03058,6026.06,,Paystack,Reversed,GHS,1160.65,2024-12-30 20:48:03,2024-08-30 22:04:57
PM00016,O11814,455.38,Cash,,failed,USD,1369.45,2024-06-16 00:45:52,2024-06-06 18:50:48
PM00017,O11753,6626.34,,Stripe,,USD,744.06,2024-04-10 06:03:50,2024-07-10 01:19:27
PM00018,O02152,5607.29,Crypto,Paystack,FAILED,GHS,1290.26,2024-07-16 21:03:36,2024-08-07 20:46:32
