product_id,product_name,category,brand,price,discount,rating,stock,weight_g,color,created_at,updated_at,is_deleted
P00001,Tablet,Office,hp,1638.8,30,3,473,,Blue,2024-08-18 20:40:33,2024-02-10 04:49:49,0
P00002,laptop,accessories,Sony,938.55,20,1,,2817,Black,2024-05-17 04:01:32,2024-06-12 08:09:13,0
P00003,CAMERA,office,SAMSUNG,836.92,20,3,234,4328,Grey,2024-04-19 13:59:04,2024-10-14 17:31:26,1
P00004,MOUSE,Home,apple,871.74,0,2,474,4601,Grey,2024-12-18 13:02:45,2024-02-19 08:35:18,0
P00005,Keyboard,Gadgets,samsung,2542.07,30,3,251,,Grey,2024-08-20 13:17:02,2024-12-01 00:25:55,1
P00006,L@ptop,Home,S@msung,2578.65,0,5,497,2909,White,2024-03-14 06:33:06,2024-10-11 16:22:43,0
P00007,Bag,Home,Apple,4732.99,50,5,191,3054,Bl@ck,2024-07-20 22:58:53,2024-11-29 21:56:52,0
P00008,Keyboard,Office,HP,2371.96,30,,,,Blue,2024-10-04 22:32:29,2024-08-06 14:19:09,0
P00009,,Accessories,Generic,3462.06,50,,,3282,GREY,2024-10-11 09:57:45,2024-01-12 08:41:59,0
P00010,LAPTOP,office,Dell,1581.39,0,3,,1694,grey,2024-01-15 20:51:50,2024-09-20 20:41:56,0
P00011,,Accessories,generic,1104.73,50,,284,,,2024-02-23 01:22:18,2024-07-16 03:18:15,1
P00012,Camera,Accessories,Dell,1887.41,0,3,148,,GREY,2024-07-13 03:37:12,2024-05-31 11:34:25,0
P00013,Camera,office,S@msung,3503.88,50,5,432,382,,2024-08-31 06:14:03,2024-08-24 21:26:06,1
P00014,T@blet,Home,Generic,1777.86,0,1,,,Blue,2024-08-04 22:58:05,2024-06-10 11:46:47,0
P00015,Monitor,Office,HP,4162.35,50,5,,2088,,2024-08-04 03:57:50,2024-03-01 10:08:22,0
P00016,B@g,Home,Generic,4104,0,5,,230,Grey,2024-01-30 23:29:31,2024-05-31 06:41:11,0
P00017,,gadgets,Apple,1905.37,0,,,4180,,2024-01-23 04:05:12,2024-11-05 14:49:23,0
P00018,BAG,,,2950.93,10,4,,2225,Blue,2024-10-06 17:47:19,2024-08-29 01:45:45,0
P00019,Phone,GADGETS,Sony,2838.46,10,5,372,4599,grey,2024-11-29 00:40:22,2024-11-18 12:34:54,1
P00020,Phone,Gadgets,Sony,2421.92,50,,367,,blue,2024-02-06 17:53:22,2024-04-16 07:31:40,0
P00021,,Gadgets,DELL,1763.88,50,4,,,Grey,2024-09-11 07:25:26,2024-10-14 08:07:03,0
P00022,monitor,office,Sony,509.03,0,3,,4246,,2024-06-17 10:39:54,2024-11-08 05:56:01,0
P00023,CAMERA,Accessories,generic,3516.84,10,3,257,4414,Blue,2024-03-21 03:16:49,2024-10-25 21:47:17,0
P00024,Monitor,Accessories,apple,2197.09,20,3,325,4724,Black,2024-03-22 02:13:27,2024-05-07 12:16:55,1
P00025,,,,625.12,10,4,197,3529,White,2024-06-19 03:24:44,2024-10-01 21:18:47,0
P00026,C@mer@,Accessories,Sony,4745.41,50,4,,235,Grey,2024-12-10 06:53:12,2024-07-01 06:11:01,1
P00027,Keyboard,G@dgets,Sony,121.93,0,1,,3433,Blue,2024-10-18 14:37:28,2024-07-16 00:07:57,0
P00028,L@ptop,office,Apple,4023.04,20,3,397,,White,2024-07-18 15:25:51,2024-09-12 23:24:24,0
P00029,laptop,gadgets,,1745.41,50,5,324,486,white,2024-01-16 15:36:58,2024-03-25 06:16:28,0
P00030,monitor,,sony,4414.64,30,,,1485,White,2024-05-14 07:58:36,2024-07-20 14:17:19,0
P00031,mouse,ACCESSORIES,,284.71,50,4,96,,White,2024-11-29 11:05:34,2024-10-03 20:23:57,0
P00032,Laptop,Gadgets,Dell,4542.95,20,,406,782,,2024-07-24 15:01:55,2024-07-17 06:06:03,1
P00033,Tablet,Home,,888.51,20,1,,,grey,2024-09-26 05:57:21,2024-06-01 21:23:14,1
P00034,L@ptop,G@dgets,Dell,3711.07,0,,,,BLACK,2024-01-29 14:34:50,2024-12-12 20:55:33,0
P00035,Mouse,Gadgets,generic,559.13,30,2,277,,grey,2024-04-25 21:38:29,2024-09-02 20:44:21,1
P00036,Bag,Office,HP,389.44,0,5,,1605,,2024-12-08 10:12:01,2024-05-28 01:27:47,1
P00037,Tablet,Office,,425.1,20,1,,,White,2024-12-13 23:20:47,2024-07-08 11:28:12,0
P00038,,G@dgets,,2996.72,20,2,,1676,White,2024-02-24 10:47:21,2024-04-08 09:31:50,0
P00039,Bag,Home,Generic,1727.56,0,5,329,,White,2024-12-06 15:26:39,2024-03-22 10:31:41,0
P00040,,,HP,936.24,30,,,,GREY,2024-10-25 10:01:14,2024-04-12 05:20:36,0
P00041,laptop,Office,APPLE,1012.98,0,2,128,1733,Grey,2024-12-16 05:43:09,2024-11-12 01:47:21,1
P00042,Mouse,Office,,2671.47,0,2,441,,,2024-02-10 06:13:23,2024-10-25 16:32:01,0
P00043,Bag,Office,HP,4198.87,0,1,,1601,,2024-01-27 23:16:02,2024-01-23 20:36:14,0
P00044,MONITOR,Electronics,,4186.12,10,,128,,Black,2024-09-10 18:30:04,2024-05-17 16:44:36,0
P00045,keyboard,Home,,2866.63,0,5,,2547,Blue,2024-11-14 04:22:46,2024-03-04 17:22:34,1
P00046,Phone,,S@msung,4157.66,0,,,,white,2024-10-20 01:52:22,2024-04-04 04:04:51,0
P00047,,GADGETS,dell,3661.07,30,1,163,,,2024-12-15 21:34:44,2024-08-13 06:38:26,0
P00048,camera,Accessories,generic,831.82,0,3,145,,Bl@ck,2024-11-02 14:50:53,2024-08-28 01:47:48,1
P00049,Monitor,G@dgets,Sony,3952.42,10,5,,1905,red,2024-12-08 08:18:57,2024-03-31 05:58:50,1
P00050,Camera,Electronics,,2026.64,30,2,,2647,Black,2024-12-13 23:13:55,2024-03-31 11:03:49,1
P00051,Mouse,OFFICE,Dell,3135.3,20,1,,,Blue,2024-05-07 20:22:21,2024-07-05 11:24:55,0
P00052,Tablet,gadgets,,3427.74,0,5,,,RED,2024-02-07 05:04:38,2024-06-02 19:01:01,1
P00053,Laptop,Office,GENERIC,296.69,0,2,,,,2024-11-16 22:03:10,2024-09-17 12:54:34,1
P00054,B@g,Office,Sony,2534.3,30,5,,1700,blue,2024-06-30 04:22:09,2024-05-01 11:23:34,0
P00055,Keyboard,G@dgets,,2395.71,0,,132,3378,White,2024-06-15 01:51:29,2024-03-23 18:28:50,1
P00056,Monitor,,Generic,835.65,0,1,425,2489,Black,2024-08-30 23:53:45,2024-01-27 22:48:39,0
P00057,Bag,ELECTRONICS,sony,2083.03,10,,387,,Blue,2024-08-27 17:17:04,2024-05-02 01:27:43,1
P00058,Tablet,Electronics,HP,2041.87,10,,499,,Grey,2024-09-04 04:20:17,2024-11-30 11:28:39,0
P00059,Keyboard,Home,generic,1285.76,50,5,195,2752,White,2024-03-02 04:29:54,2024-05-09 07:25:38,0
P00060,,Home,Apple,719.75,10,3,105,,,2024-10-27 11:40:19,2024-09-24 17:46:10,0
P00061,Phone,home,Apple,3662.53,20,,,,Black,2024-04-03 02:43:00,2024-03-19 07:29:19,1
P00062,Camera,,Dell,4070.69,0,5,182,,White,2024-03-22 04:55:16,2024-02-13 06:06:06,0
P00063,L@ptop,Electronics,Apple,213.15,10,1,,,Blue,2024-08-04 06:47:49,2024-06-13 19:11:17,0
P00064,,accessories,Sony,1649.59,0,,,,Grey,2024-04-11 05:59:49,2024-01-29 12:26:42,0
P00065,Monitor,Electronics,,513.9,0,5,,4754,White,2024-06-24 21:41:24,2024-01-24 08:44:08,0
P00066,Tablet,Office,Apple,3445.43,20,2,125,,Blue,2024-01-10 08:39:44,2024-12-02 07:40:20,0
P00067,Camera,Office,,3060.27,0,5,,462,Black,2024-02-06 04:46:48,2024-09-26 00:29:01,1
P00068,Monitor,,,779.3,10,3,18,4560,Grey,2024-10-15 00:05:23,2024-11-05 17:50:38,1
P00069,camera,HOME,sony,3854.54,50,2,363,,Blue,2024-09-29 18:40:47,2024-08-07 06:32:46,1
P00070,tablet,HOME,Generic,4462.2,50,5,,4810,red,2024-12-29 01:30:36,2024-05-09 20:26:57,1
P00071,,OFFICE,,2604.39,0,4,452,,Grey,2024-06-01 10:56:10,2024-11-27 03:03:35,0
P00072,laptop,Gadgets,SONY,2274.29,30,5,,,Red,2024-06-22 18:17:02,2024-11-30 10:12:28,1
P00073,MONITOR,Home,GENERIC,3710.79,20,1,,,RED,2024-07-13 03:55:43,2024-05-13 01:26:27,0
P00074,Mouse,GADGETS,HP,3167.46,0,4,,4981,Grey,2024-09-24 05:19:07,2024-12-28 16:40:47,0
P00075,,,Generic,39.36,50,4,,,Red,2024-06-20 14:13:22,2024-06-06 15:44:44,0
P00076,,,,4485.28,10,,,1213,,2024-09-23 02:20:36,2024-10-28 02:41:04,0
P00077,bag,ACCESSORIES,Samsung,3839.7,0,2,460,,Grey,2024-05-01 05:32:15,2024-03-14 07:53:31,1
P00078,B@g,Home,,93.98,0,2,349,,Black,2024-08-26 20:34:37,2024-07-20 22:10:23,1
P00079,Laptop,Gadgets,Generic,1907.03,20,,228,,grey,2024-04-14 16:59:49,2024-10-31 03:24:33,0
P00080,Monitor,Electronics,,1548.14,10,5,279,,,2024-02-05 17:37:12,2024-05-23 07:07:34,1
P00081,,Office,HP,4509.35,10,4,452,3595,grey,2024-11-23 05:06:02,2024-06-28 22:42:20,0
P00082,TABLET,Gadgets,Sony,76.04,0,1,27,1504,BLACK,2024-10-14 19:05:16,2024-08-14 22:20:34,0
P00083,Bag,G@dgets,DELL,4352.08,50,4,,3632,,2024-05-11 01:44:24,2024-02-20 05:19:13,0
P00084,Camera,Electronics,Generic,4413.49,0,2,361,,White,2024-03-23 18:35:15,2024-09-28 12:03:26,0
P00085,Monitor,Accessories,Samsung,4031.48,30,2,331,,Blue,2024-03-10 18:34:21,2024-09-24 16:16:06,0
P00086,Monitor,Electronics,generic,2963.27,0,1,,,Blue,2024-03-21 21:02:01,2024-08-23 16:33:47,0
P00087,mouse,,HP,2433.44,50,5,167,,Blue,2024-11-14 20:57:11,2024-07-28 17:49:40,0
P00088,KEYBOARD,,Sony,983.38,20,5,177,,Black,2024-10-19 19:46:16,2024-06-03 02:22:42,0
P00089,T@blet,Home,Dell,1754.51,20,,,3052,Blue,2024-06-20 19:25:17,2024-10-25 03:30:27,0
P00090,monitor,Office,dell,303.32,30,2,176,4584,White,2024-03-11 15:58:45,2024-09-21 14:48:36,0
P00091,Tablet,Gadgets,sony,4445.78,10,3,,,Black,2024-11-27 18:12:35,2024-09-06 16:32:40,0
P00092,Monitor,Electronics,generic,4052.65,30,2,240,,red,2024-05-28 20:24:45,2024-09-20 12:38:27,1
P00093,,Accessories,Dell,2434.32,0,5,,2223,Blue,2024-09-26 04:52:38,2024-03-10 11:18:24,0
P00094,Keyboard,Accessories,apple,215.36,10,1,,,,2024-09-17 21:19:57,2024-02-10 04:11:27,1
P00095,,Home,Samsung,3300.02,30,4,155,,WHITE,2024-09-22 18:06:49,2024-02-19 13:16:50,0
P00096,Tablet,accessories,Apple,3668.04,0,1,,,Red,2024-07-12 18:55:09,2024-09-11 09:33:37,1
P00097,Monitor,Accessories,,1810.8,50,,51,2834,Red,2024-05-25 16:19:56,2024-05-27 09:33:15,1
P00098,Phone,accessories,hp,269.96,50,1,363,,blue,2024-10-06 15:55:36,2024-01-13 21:45:08,1
P00099,Mouse,Accessories,Sony,2610.15,50,5,481,249,Blue,2024-06-03 02:00:25,2024-06-22 23:12:57,0
P00100,Monitor,Accessories,Generic,4409.15,0,5,431,,red,2024-01-02 02:12:49,2024-05-20 15:58:36,0
P00101,T@blet,,Samsung,4436.76,20,3,271,,,2024-01-30 05:53:56,2024-02-01 13:40:47,0
P00102,Laptop,G@dgets,Generic,1519.95,0,1,328,1108,Red,2024-09-26 23:48:59,2024-03-04 02:18:46,1
P00103,Laptop,Accessories,Apple,490.45,30,1,,,Red,2024-09-28 21:29:02,2024-01-26 07:33:03,0
P00104,Tablet,home,dell,1246.43,30,,108,3095,Black,2024-11-22 18:55:09,2024-08-14 08:29:55,0
P00105,MOUSE,GADGETS,Dell,4189.89,50,,,,Blue,2024-08-03 00:47:13,2024-09-04 13:33:33,1
P00106,,HOME,samsung,112.56,50,,300,,Grey,2024-09-18 17:38:00,2024-03-14 11:30:50,0
P00107,Camera,G@dgets,HP,4667.95,20,2,,3374,Blue,2024-08-15 23:21:06,2024-02-28 09:09:32,1
P00108,TABLET,,,4140.92,50,1,63,929,Grey,2024-11-24 09:41:25,2024-09-13 12:54:56,0
P00109,Monitor,,Dell,3472.13,20,4,,,Blue,2024-07-14 17:07:18,2024-09-18 22:54:39,0
P00110,Mouse,Electronics,HP,1320.06,10,5,112,861,BLACK,2024-12-15 18:20:03,2024-07-15 23:44:13,0
P00111,PHONE,,hp,3090.37,20,4,368,,grey,2024-01-13 04:36:54,2024-09-21 07:12:28,1
P00112,Camera,Gadgets,generic,3015.78,50,4,,4627,Red,2024-06-01 21:14:53,2024-01-26 04:51:24,0
P00113,MONITOR,Office,,3352.9,0,3,328,3034,Black,2024-06-27 21:31:37,2024-05-15 01:26:25,0
P00114,Mouse,Office,Generic,179.26,30,4,,1535,Blue,2024-02-10 01:50:35,2024-06-21 16:28:44,0
P00115,,Home,Generic,429.7,0,4,,,,2024-09-25 12:00:12,2024-08-29 15:04:18,0
P00116,PHONE,Home,hp,951.55,0,1,,,Grey,2024-10-16 10:08:27,2024-08-06 21:05:10,0
P00117,Monitor,Home,Samsung,2936.47,50,,419,4233,,2024-03-12 16:17:24,2024-02-12 16:09:08,0
P00118,Mouse,Gadgets,Samsung,3624.39,30,2,,4582,Grey,2024-02-08 20:16:28,2024-03-11 02:40:06,1
P00119,Monitor,Accessories,HP,4292.37,50,,,2746,,2024-07-05 14:11:41,2024-08-29 10:28:06,0
P00120,Laptop,Home,Sony,301.69,50,1,95,,White,2024-09-18 23:56:48,2024-06-23 00:47:19,1
P00121,Monitor,electronics,samsung,1371.63,0,5,,4275,Blue,2024-05-09 16:24:05,2024-06-05 04:46:36,0
P00122,Bag,Office,,3135.04,0,4,,848,RED,2024-09-20 14:18:24,2024-07-19 18:05:33,0
P00123,Laptop,GADGETS,Samsung,2673.19,20,1,,4230,Grey,2024-10-26 11:41:08,2024-05-01 16:44:14,0
P00124,monitor,Gadgets,Generic,481.52,30,5,329,4913,BLACK,2024-09-12 21:34:50,2024-01-23 14:39:31,0
P00125,Tablet,GADGETS,Generic,4918.93,20,3,,3654,Blue,2024-05-31 04:33:53,2024-09-03 16:49:55,0
P00126,tablet,Office,SONY,2509.08,20,2,,,Blue,2024-12-07 04:33:16,2024-02-06 09:50:33,0
P00127,Camera,electronics,Sony,3432.5,0,2,346,3626,,2024-02-28 04:07:57,2024-03-02 02:23:46,0
P00128,mouse,,DELL,1486.26,30,2,,,Grey,2024-03-19 04:24:51,2024-09-23 14:08:08,0
P00129,Phone,home,generic,4885.89,0,1,171,,Grey,2024-09-06 00:31:33,2024-07-25 22:39:10,0
P00130,CAMERA,,sony,800.09,20,2,,418,White,2024-07-16 06:10:08,2024-05-18 01:35:47,0
P00131,bag,Accessories,Generic,3473.35,0,,23,,,2024-12-13 07:50:47,2024-02-20 06:15:46,1
P00132,,Electronics,dell,74.24,0,5,,,,2024-07-18 10:49:08,2024-04-30 02:13:17,0
P00133,phone,Office,Apple,784.82,10,2,,,Black,2024-11-12 07:41:03,2024-01-30 09:55:02,0
P00134,Mouse,GADGETS,Generic,132.58,10,1,,3813,White,2024-02-16 01:21:30,2024-02-16 21:00:47,0
P00135,Mouse,,Apple,3956.45,10,,428,,Red,2024-10-28 11:23:58,2024-10-15 06:12:49,0
P00136,Monitor,,hp,4921.62,10,2,,,Grey,2024-07-07 05:05:12,2024-11-20 15:22:05,1
P00137,Tablet,HOME,Samsung,2627.08,0,1,,2557,Grey,2024-11-01 05:31:32,2024-01-31 16:29:34,1
P00138,Mouse,gadgets,APPLE,1336.48,20,,,,Black,2024-10-03 19:25:29,2024-05-02 18:17:49,0
P00139,Monitor,Home,sony,4898.18,10,3,,,,2024-09-24 04:14:20,2024-11-27 13:40:06,0
P00140,tablet,,Sony,213.84,20,4,120,2972,Blue,2024-05-18 19:54:52,2024-01-09 18:20:16,0
P00141,Keyboard,gadgets,Generic,1101.47,50,4,369,,Grey,2024-01-29 22:31:06,2024-09-07 22:40:01,0
P00142,Keyboard,Home,,2195.32,10,,,,grey,2024-03-18 08:01:55,2024-12-12 11:20:56,1
P00143,mouse,HOME,sony,2914.7,0,4,2,,,2024-07-29 20:44:20,2024-06-12 19:49:24,1
P00144,CAMERA,Home,,3648.27,0,4,,2936,blue,2024-12-25 10:32:22,2024-02-04 04:44:41,0
P00145,Tablet,,hp,4340.63,0,3,,1719,,2024-04-30 15:20:47,2024-07-28 22:06:36,0
P00146,BAG,HOME,Generic,656.82,0,4,39,4693,Grey,2024-07-09 00:09:53,2024-07-25 20:15:40,1
P00147,Phone,Home,,3540.16,50,4,,2976,white,2024-04-03 06:30:06,2024-12-10 18:38:06,0
P00148,Mouse,ACCESSORIES,,1624.25,50,3,182,4689,Black,2024-08-18 11:34:10,2024-11-20 19:00:10,0
P00149,Tablet,,SAMSUNG,3873.75,30,4,339,,White,2024-07-01 05:22:59,2024-01-26 03:58:02,1
P00150,MOUSE,Office,Apple,1378.96,30,,287,,Grey,2024-06-14 21:52:34,2024-01-28 07:29:43,1
P00151,Mouse,Gadgets,Apple,1633.29,0,4,,,GREY,2024-03-03 06:44:40,2024-02-02 10:03:56,0
P00152,PHONE,Accessories,HP,4833.22,0,,,,Grey,2024-08-21 06:58:16,2024-10-16 07:57:08,1
P00153,Tablet,OFFICE,HP,148.72,20,5,,,blue,2024-12-02 03:18:04,2024-06-24 09:50:02,0
P00154,Tablet,ELECTRONICS,Dell,4267.01,50,1,212,1474,White,2024-10-14 03:19:59,2024-10-22 16:53:52,1
P00155,MOUSE,home,Samsung,2465.12,50,4,499,,BLUE,2024-11-29 16:13:19,2024-01-17 17:03:35,0
